group_a,energy_a_MeV,group_b,energy_b_MeV,sigma_a_to_b,sigma_b_to_a,absolute_difference,asymmetry,geometric_strength
14,0.4015,21,0.0008445,0.028042,0.0,0.028042,1.0,0.0
14,0.4015,22,0.0003105,0.01030488,0.0,0.01030488,1.0,0.0
14,0.4015,23,0.0001142,0.00379164,0.0,0.00379164,1.0,0.0
14,0.4015,24,4.2e-05,0.001393142,0.0,0.001393142,1.0,0.0
14,0.4015,25,1.546e-05,0.000512734,0.0,0.000512734,1.0,0.0
14,0.4015,26,5.69e-06,0.0001888642,0.0,0.0001888642,1.0,0.0
14,0.4015,27,2.095e-06,0.000107471,0.0,0.000107471,1.0,0.0
15,0.2435,16,0.1258,9.986123,0.0,9.986123,1.0,0.0
15,0.2435,17,0.0462,3.31816,0.0,3.31816,1.0,0.0
15,0.2435,18,0.01696,1.215888,0.0,1.215888,1.0,0.0
15,0.2435,19,0.006235,0.447454,0.0,0.447454,1.0,0.0
15,0.2435,20,0.0022925,0.1640186,0.0,0.1640186,1.0,0.0
15,0.2435,21,0.0008445,0.0605676,0.0,0.0605676,1.0,0.0
15,0.2435,22,0.0003105,0.0222574,0.0,0.0222574,1.0,0.0
15,0.2435,23,0.0001142,0.0081895,0.0,0.0081895,1.0,0.0
15,0.2435,24,4.2e-05,0.00300902,0.0,0.00300902,1.0,0.0
15,0.2435,25,1.546e-05,0.001107444,0.0,0.001107444,1.0,0.0
15,0.2435,26,5.69e-06,0.000407924,0.0,0.000407924,1.0,0.0
15,0.2435,27,2.095e-06,0.0001979834,0.0,0.0001979834,1.0,0.0
15,0.2435,28,7.72e-07,3.62298e-05,0.0,3.62298e-05,1.0,0.0
16,0.1258,17,0.0462,10.574916,0.0,10.574916,1.0,0.0
16,0.1258,18,0.01696,3.70596,0.0,3.70596,1.0,0.0
16,0.1258,19,0.006235,1.363754,0.0,1.363754,1.0,0.0
16,0.1258,20,0.0022925,0.499888,0.0,0.499888,1.0,0.0
16,0.1258,21,0.0008445,0.1845924,0.0,0.1845924,1.0,0.0
16,0.1258,22,0.0003105,0.0678336,0.0,0.0678336,1.0,0.0
16,0.1258,23,0.0001142,0.024959,0.0,0.024959,1.0,0.0
16,0.1258,24,4.2e-05,0.00917054,0.0,0.00917054,1.0,0.0
16,0.1258,25,1.546e-05,0.00337514,0.0,0.00337514,1.0,0.0
16,0.1258,26,5.69e-06,0.001243224,0.0,0.001243224,1.0,0.0
16,0.1258,27,2.095e-06,0.000456164,0.0,0.000456164,1.0,0.0
16,0.1258,28,7.72e-07,0.000236812,0.0,0.000236812,1.0,0.0
16,0.1258,29,2.83e-07,2.60342e-05,0.0,2.60342e-05,1.0,0.0
17,0.0462,18,0.01696,13.595354,0.0,13.595354,1.0,0.0
17,0.0462,19,0.006235,4.83604,0.0,4.83604,1.0,0.0
17,0.0462,20,0.0022925,1.772654,0.0,1.772654,1.0,0.0
17,0.0462,21,0.0008445,0.654582,0.0,0.654582,1.0,0.0
17,0.0462,22,0.0003105,0.240544,0.0,0.240544,1.0,0.0
17,0.0462,23,0.0001142,0.088507,0.0,0.088507,1.0,0.0
17,0.0462,24,4.2e-05,0.0325196,0.0,0.0325196,1.0,0.0
17,0.0462,25,1.546e-05,0.01196856,0.0,0.01196856,1.0,0.0
17,0.0462,26,5.69e-06,0.00440858,0.0,0.00440858,1.0,0.0
17,0.0462,27,2.095e-06,0.0016176,0.0,0.0016176,1.0,0.0
17,0.0462,28,7.72e-07,0.000600104,0.0,0.000600104,1.0,0.0
17,0.0462,29,2.83e-07,0.000307734,0.0,0.000307734,1.0,0.0
17,0.0462,30,7.60695e-08,3.36714e-05,0.0,3.36714e-05,1.0,0.0
18,0.01696,19,0.006235,15.444192000000001,0.0,15.444192000000001,1.0,0.0
18,0.01696,20,0.0022925,5.49434,0.0,5.49434,1.0,0.0
18,0.01696,21,0.0008445,2.02888,0.0,2.02888,1.0,0.0
18,0.01696,22,0.0003105,0.745568,0.0,0.745568,1.0,0.0
18,0.01696,23,0.0001142,0.274328,0.0,0.274328,1.0,0.0
18,0.01696,24,4.2e-05,0.1007944,0.0,0.1007944,1.0,0.0
18,0.01696,25,1.546e-05,0.0370966,0.0,0.0370966,1.0,0.0
18,0.01696,26,5.69e-06,0.0136644,0.0,0.0136644,1.0,0.0
18,0.01696,27,2.095e-06,0.00501374,0.0,0.00501374,1.0,0.0
18,0.01696,28,7.72e-07,0.001860022,0.0,0.001860022,1.0,0.0
18,0.01696,29,2.83e-07,0.000680622,0.0,0.000680622,1.0,0.0
18,0.01696,30,7.60695e-08,0.000388452,0.0,0.000388452,1.0,0.0
19,0.006235,20,0.0022925,16.231407,0.0,16.231407,1.0,0.0
19,0.006235,21,0.0008445,5.82682,0.0,5.82682,1.0,0.0
19,0.006235,22,0.0003105,2.14122,0.0,2.14122,1.0,0.0
19,0.006235,23,0.0001142,0.787852,0.0,0.787852,1.0,0.0
19,0.006235,24,4.2e-05,0.289476,0.0,0.289476,1.0,0.0
19,0.006235,25,1.546e-05,0.106539,0.0,0.106539,1.0,0.0
19,0.006235,26,5.69e-06,0.0392434,0.0,0.0392434,1.0,0.0
19,0.006235,27,2.095e-06,0.01439918,0.0,0.01439918,1.0,0.0
19,0.006235,28,7.72e-07,0.00534188,0.0,0.00534188,1.0,0.0
19,0.006235,29,2.83e-07,0.001954708,0.0,0.001954708,1.0,0.0
19,0.006235,30,7.60695e-08,0.001127228,0.0,0.001127228,1.0,0.0
20,0.0022925,21,0.0008445,16.61946,0.0,16.61946,1.0,0.0
20,0.0022925,22,0.0003105,5.9404,0.0,5.9404,1.0,0.0
20,0.0022925,23,0.0001142,2.18574,0.0,2.18574,1.0,0.0
20,0.0022925,24,4.2e-05,0.803094,0.0,0.803094,1.0,0.0
20,0.0022925,25,1.546e-05,0.295572,0.0,0.295572,1.0,0.0
20,0.0022925,26,5.69e-06,0.108873,0.0,0.108873,1.0,0.0
20,0.0022925,27,2.095e-06,0.0399478,0.0,0.0399478,1.0,0.0
20,0.0022925,28,7.72e-07,0.01481998,0.0,0.01481998,1.0,0.0
20,0.0022925,29,2.83e-07,0.00542296,0.0,0.00542296,1.0,0.0
20,0.0022925,30,7.60695e-08,0.00313918,0.0,0.00313918,1.0,0.0
21,0.0008445,22,0.0003105,16.718411,0.0,16.718411,1.0,0.0
21,0.0008445,23,0.0001142,5.98454,0.0,5.98454,1.0,0.0
21,0.0008445,24,4.2e-05,2.19886,0.0,2.19886,1.0,0.0
21,0.0008445,25,1.546e-05,0.809272,0.0,0.809272,1.0,0.0
21,0.0008445,26,5.69e-06,0.298094,0.0,0.298094,1.0,0.0
21,0.0008445,27,2.095e-06,0.1093766,0.0,0.1093766,1.0,0.0
21,0.0008445,28,7.72e-07,0.040577,0.0,0.040577,1.0,0.0
21,0.0008445,29,2.83e-07,0.014848,0.0,0.014848,1.0,0.0
21,0.0008445,30,7.60695e-08,0.0086071,0.0,0.0086071,1.0,0.0
22,0.0003105,23,0.0001142,16.783725,0.0,16.783725,1.0,0.0
22,0.0003105,24,4.2e-05,6.00052,0.0,6.00052,1.0,0.0
22,0.0003105,25,1.546e-05,2.20844,0.0,2.20844,1.0,0.0
22,0.0003105,26,5.69e-06,0.813472,0.0,0.813472,1.0,0.0
22,0.0003105,27,2.095e-06,0.298478,0.0,0.298478,1.0,0.0
22,0.0003105,28,7.72e-07,0.110731,0.0,0.110731,1.0,0.0
22,0.0003105,29,2.83e-07,0.040519,0.0,0.040519,1.0,0.0
22,0.0003105,30,7.60695e-08,0.0235002,0.0,0.0235002,1.0,0.0
23,0.0001142,24,4.2e-05,16.787196,0.0,16.787196,1.0,0.0
23,0.0001142,25,1.546e-05,6.0116,0.0,6.0116,1.0,0.0
23,0.0001142,26,5.69e-06,2.21436,0.0,2.21436,1.0,0.0
23,0.0001142,27,2.095e-06,0.812494,0.0,0.812494,1.0,0.0
23,0.0001142,28,7.72e-07,0.301422,0.0,0.301422,1.0,0.0
23,0.0001142,29,2.83e-07,0.110297,0.0,0.110297,1.0,0.0
23,0.0001142,30,7.60695e-08,0.063982,0.0,0.063982,1.0,0.0
24,4.2e-05,25,1.546e-05,16.797628,0.0,16.797628,1.0,0.0
24,4.2e-05,26,5.69e-06,6.02044,0.0,6.02044,1.0,0.0
24,4.2e-05,27,2.095e-06,2.20902,0.0,2.20902,1.0,0.0
24,4.2e-05,28,7.72e-07,0.819512,0.0,0.819512,1.0,0.0
24,4.2e-05,29,2.83e-07,0.299878,0.0,0.299878,1.0,0.0
24,4.2e-05,30,7.60695e-08,0.1739674,0.0,0.1739674,1.0,0.0
25,1.546e-05,26,5.69e-06,16.822568999999998,0.0,16.822568999999998,1.0,0.0
25,1.546e-05,27,2.095e-06,6.00608,0.0,6.00608,1.0,0.0
25,1.546e-05,28,7.72e-07,2.22816,0.0,2.22816,1.0,0.0
25,1.546e-05,29,2.83e-07,0.815334,0.0,0.815334,1.0,0.0
25,1.546e-05,30,7.60695e-08,0.47301,0.0,0.47301,1.0,0.0
26,5.69e-06,27,2.095e-06,16.802142,0.0,16.802142,1.0,0.0
26,5.69e-06,28,7.72e-07,6.06538,0.0,6.06538,1.0,0.0
26,5.69e-06,29,2.83e-07,2.21946,0.0,2.21946,1.0,0.0
26,5.69e-06,30,7.60695e-08,1.287616,0.0,1.287616,1.0,0.0
